"queue_rank","priority_score","gap_labels","review_segment","lead_id","company_name","customer_type","city_or_region","website","contact_data_level","primary_contact_method","contact_priority","recommended_action","official_contact_query","site_contact_query","form_query","kp_query","site_kp_query","public_linkedin_query","source_link"
"19","65","missing_form; missing_kp","Restaurant/Hotel Final Customer","AU-0325","About Us – The Catering Group","Final Customer","","https://thecateringgroup.com.au","","","","Search owner/founder/director/operations/F&B/procurement KP evidence.","""About Us – The Catering Group"" Australia official contact","site:thecateringgroup.com.au contact OR enquiry OR suppliers","""About Us – The Catering Group"" Australia contact form OR enquiry OR suppliers","""About Us – The Catering Group"" Australia owner OR founder OR director OR operations OR procurement OR ""food and beverage""","site:thecateringgroup.com.au team OR people OR leadership OR director OR founder","site:linkedin.com/in ""About Us – The Catering Group"" Australia director OR operations OR procurement","https://thecateringgroup.com.au/about-us"
"20","65","missing_form; missing_kp","Restaurant/Hotel Final Customer","AU-0206","Atlantic Group","Final Customer","","https://atlanticgroup.com.au","","","","Search owner/founder/director/operations/F&B/procurement KP evidence.","""Atlantic Group"" Australia official contact","site:atlanticgroup.com.au contact OR enquiry OR suppliers","""Atlantic Group"" Australia contact form OR enquiry OR suppliers","""Atlantic Group"" Australia owner OR founder OR director OR operations OR procurement OR ""food and beverage""","site:atlanticgroup.com.au team OR people OR leadership OR director OR founder","site:linkedin.com/in ""Atlantic Group"" Australia director OR operations OR procurement",""
"21","65","missing_form; missing_kp","Restaurant/Hotel Final Customer","AU-0296","Authentic Lebanese Wedding Catering Melbourne &amp; Regional Victoria | atiyah","Final Customer","","https://atiyah.life","","","","Search owner/founder/director/operations/F&B/procurement KP evidence.","""Authentic Lebanese Wedding Catering Melbourne &amp; Regional Victoria | atiyah"" Australia official contact","site:atiyah.life contact OR enquiry OR suppliers","""Authentic Lebanese Wedding Catering Melbourne &amp; Regional Victoria | atiyah"" Australia contact form OR enquiry OR suppliers","""Authentic Lebanese Wedding Catering Melbourne &amp; Regional Victoria | atiyah"" Australia owner OR founder OR director OR operations OR procurement OR ""food and beverage""","site:atiyah.life team OR people OR leadership OR director OR founder","site:linkedin.com/in ""Authentic Lebanese Wedding Catering Melbourne &amp; Regional Victoria | atiyah"" Australia director OR operations OR procurement","https://www.atiyah.life/wedding-catering"
"22","65","missing_form; missing_kp","Restaurant/Hotel Final Customer","AU-0292","Bespoke Catering &amp; Events - Premium Event Catering in Sydney","Final Customer","","https://bespokecatering.sydney","","","","Search owner/founder/director/operations/F&B/procurement KP evidence.","""Bespoke Catering &amp; Events - Premium Event Catering in Sydney"" Australia official contact","site:bespokecatering.sydney contact OR enquiry OR suppliers","""Bespoke Catering &amp; Events - Premium Event Catering in Sydney"" Australia contact form OR enquiry OR suppliers","""Bespoke Catering &amp; Events - Premium Event Catering in Sydney"" Australia owner OR founder OR director OR operations OR procurement OR ""food and beverage""","site:bespokecatering.sydney team OR people OR leadership OR director OR founder","site:linkedin.com/in ""Bespoke Catering &amp; Events - Premium Event Catering in Sydney"" Australia director OR operations OR procurement","http://bespokecatering.sydney"
"23","65","missing_form; missing_kp","Restaurant/Hotel Final Customer","AU-0297","Birthday Catering Melbourne | Events &amp; Party Catering Service","Final Customer","","https://cateringbychefs.com.au","","","","Search owner/founder/director/operations/F&B/procurement KP evidence.","""Birthday Catering Melbourne | Events &amp; Party Catering Service"" Australia official contact","site:cateringbychefs.com.au contact OR enquiry OR suppliers","""Birthday Catering Melbourne | Events &amp; Party Catering Service"" Australia contact form OR enquiry OR suppliers","""Birthday Catering Melbourne | Events &amp; Party Catering Service"" Australia owner OR founder OR director OR operations OR procurement OR ""food and beverage""","site:cateringbychefs.com.au team OR people OR leadership OR director OR founder","site:linkedin.com/in ""Birthday Catering Melbourne | Events &amp; Party Catering Service"" Australia director OR operations OR procurement","https://cateringbychefs.com.au"
"24","65","missing_form; missing_kp","Restaurant/Hotel Final Customer","AU-0293","Casa Catering Sydney: Your One-Stop Catering Solution","Final Customer","","https://catering-sydney.au","","","","Search owner/founder/director/operations/F&B/procurement KP evidence.","""Casa Catering Sydney: Your One-Stop Catering Solution"" Australia official contact","site:catering-sydney.au contact OR enquiry OR suppliers","""Casa Catering Sydney: Your One-Stop Catering Solution"" Australia contact form OR enquiry OR suppliers","""Casa Catering Sydney: Your One-Stop Catering Solution"" Australia owner OR founder OR director OR operations OR procurement OR ""food and beverage""","site:catering-sydney.au team OR people OR leadership OR director OR founder","site:linkedin.com/in ""Casa Catering Sydney: Your One-Stop Catering Solution"" Australia director OR operations OR procurement","https://catering-sydney.au"
"25","65","missing_form; missing_kp","Restaurant/Hotel Final Customer","AU-0326","Cater Care: Trusted Food Service Contractors in Australia","Final Customer","","https://catercare.com.au","","","","Search owner/founder/director/operations/F&B/procurement KP evidence.","""Cater Care: Trusted Food Service Contractors in Australia"" Australia official contact","site:catercare.com.au contact OR enquiry OR suppliers","""Cater Care: Trusted Food Service Contractors in Australia"" Australia contact form OR enquiry OR suppliers","""Cater Care: Trusted Food Service Contractors in Australia"" Australia owner OR founder OR director OR operations OR procurement OR ""food and beverage""","site:catercare.com.au team OR people OR leadership OR director OR founder","site:linkedin.com/in ""Cater Care: Trusted Food Service Contractors in Australia"" Australia director OR operations OR procurement","https://catercare.com.au"
"26","65","missing_form; missing_kp","Restaurant/Hotel Final Customer","AU-0288","Catering in Darwin | Darwin Catering Company","Final Customer","","https://darwincateringcompany.com.au","","","","Search owner/founder/director/operations/F&B/procurement KP evidence.","""Catering in Darwin | Darwin Catering Company"" Australia official contact","site:darwincateringcompany.com.au contact OR enquiry OR suppliers","""Catering in Darwin | Darwin Catering Company"" Australia contact form OR enquiry OR suppliers","""Catering in Darwin | Darwin Catering Company"" Australia owner OR founder OR director OR operations OR procurement OR ""food and beverage""","site:darwincateringcompany.com.au team OR people OR leadership OR director OR founder","site:linkedin.com/in ""Catering in Darwin | Darwin Catering Company"" Australia director OR operations OR procurement","https://www.darwincateringcompany.com.au"
"27","65","missing_form; missing_kp","Restaurant/Hotel Final Customer","AU-0330","Catering Melbourne | Diamond Blue Catering Services","Final Customer","","https://diamondbluecateringmelbourne.com.au","","","","Search owner/founder/director/operations/F&B/procurement KP evidence.","""Catering Melbourne | Diamond Blue Catering Services"" Australia official contact","site:diamondbluecateringmelbourne.com.au contact OR enquiry OR suppliers","""Catering Melbourne | Diamond Blue Catering Services"" Australia contact form OR enquiry OR suppliers","""Catering Melbourne | Diamond Blue Catering Services"" Australia owner OR founder OR director OR operations OR procurement OR ""food and beverage""","site:diamondbluecateringmelbourne.com.au team OR people OR leadership OR director OR founder","site:linkedin.com/in ""Catering Melbourne | Diamond Blue Catering Services"" Australia director OR operations OR procurement","https://diamondbluecateringmelbourne.com.au"
"28","65","missing_form; missing_kp","Restaurant/Hotel Final Customer","AU-0329","Catering Melbourne | Essential Catering &amp; Events","Final Customer","","https://essentialcatering.com.au","","","","Search owner/founder/director/operations/F&B/procurement KP evidence.","""Catering Melbourne | Essential Catering &amp; Events"" Australia official contact","site:essentialcatering.com.au contact OR enquiry OR suppliers","""Catering Melbourne | Essential Catering &amp; Events"" Australia contact form OR enquiry OR suppliers","""Catering Melbourne | Essential Catering &amp; Events"" Australia owner OR founder OR director OR operations OR procurement OR ""food and beverage""","site:essentialcatering.com.au team OR people OR leadership OR director OR founder","site:linkedin.com/in ""Catering Melbourne | Essential Catering &amp; Events"" Australia director OR operations OR procurement","https://www.essentialcatering.com.au"
"29","65","missing_form; missing_kp","Restaurant/Hotel Final Customer","AU-0324","Catering Services Sydney | Australian Corporate Catering Services | The Catering Dept","Final Customer","","https://thecateringdept.com.au","","","","Search owner/founder/director/operations/F&B/procurement KP evidence.","""Catering Services Sydney | Australian Corporate Catering Services | The Catering Dept"" Australia official contact","site:thecateringdept.com.au contact OR enquiry OR suppliers","""Catering Services Sydney | Australian Corporate Catering Services | The Catering Dept"" Australia contact form OR enquiry OR suppliers","""Catering Services Sydney | Australian Corporate Catering Services | The Catering Dept"" Australia owner OR founder OR director OR operations OR procurement OR ""food and beverage""","site:thecateringdept.com.au team OR people OR leadership OR director OR founder","site:linkedin.com/in ""Catering Services Sydney | Australian Corporate Catering Services | The Catering Dept"" Australia director OR operations OR procurement","https://www.thecateringdept.com.au"
"30","65","missing_form; missing_kp","Restaurant/Hotel Final Customer","AU-0208","Chefline Group","Final Customer","","https://chefline.com.au","","","","Search owner/founder/director/operations/F&B/procurement KP evidence.","""Chefline Group"" Australia official contact","site:chefline.com.au contact OR enquiry OR suppliers","""Chefline Group"" Australia contact form OR enquiry OR suppliers","""Chefline Group"" Australia owner OR founder OR director OR operations OR procurement OR ""food and beverage""","site:chefline.com.au team OR people OR leadership OR director OR founder","site:linkedin.com/in ""Chefline Group"" Australia director OR operations OR procurement",""
"31","65","missing_form; missing_kp","Restaurant/Hotel Final Customer","AU-0385","Complete Client Listing | Hospitality Mgmt Aus","Final Customer","","https://hospitalitymanagement.com.au","","","","Search owner/founder/director/operations/F&B/procurement KP evidence.","""Complete Client Listing | Hospitality Mgmt Aus"" Australia official contact","site:hospitalitymanagement.com.au contact OR enquiry OR suppliers","""Complete Client Listing | Hospitality Mgmt Aus"" Australia contact form OR enquiry OR suppliers","""Complete Client Listing | Hospitality Mgmt Aus"" Australia owner OR founder OR director OR operations OR procurement OR ""food and beverage""","site:hospitalitymanagement.com.au team OR people OR leadership OR director OR founder","site:linkedin.com/in ""Complete Client Listing | Hospitality Mgmt Aus"" Australia director OR operations OR procurement","https://www.hospitalitymanagement.com.au/complete-client-listing"
"32","65","missing_form; missing_kp","Restaurant/Hotel Final Customer","AU-0307","Conference venues Sydney | Capella Sydney","Final Customer","","https://capellahotels.com","","","","Search owner/founder/director/operations/F&B/procurement KP evidence.","""Conference venues Sydney | Capella Sydney"" Australia official contact","site:capellahotels.com contact OR enquiry OR suppliers","""Conference venues Sydney | Capella Sydney"" Australia contact form OR enquiry OR suppliers","""Conference venues Sydney | Capella Sydney"" Australia owner OR founder OR director OR operations OR procurement OR ""food and beverage""","site:capellahotels.com team OR people OR leadership OR director OR founder","site:linkedin.com/in ""Conference venues Sydney | Capella Sydney"" Australia director OR operations OR procurement","https://capellahotels.com/en/capella-sydney/meetings-events"
"33","65","missing_form; missing_kp","Restaurant/Hotel Final Customer","AU-0277","Contact Song Hotels - Song Hotel Sydney Australia","Final Customer","","https://songhotels.com.au","","","","Search owner/founder/director/operations/F&B/procurement KP evidence.","""Contact Song Hotels - Song Hotel Sydney Australia"" Australia official contact","site:songhotels.com.au contact OR enquiry OR suppliers","""Contact Song Hotels - Song Hotel Sydney Australia"" Australia contact form OR enquiry OR suppliers","""Contact Song Hotels - Song Hotel Sydney Australia"" Australia owner OR founder OR director OR operations OR procurement OR ""food and beverage""","site:songhotels.com.au team OR people OR leadership OR director OR founder","site:linkedin.com/in ""Contact Song Hotels - Song Hotel Sydney Australia"" Australia director OR operations OR procurement","https://www.songhotels.com.au/contact-us"
"34","65","missing_form; missing_kp","Restaurant/Hotel Final Customer","AU-0269","Contact Us - Grand Hotel Group","Final Customer","","https://grandhotelgroup.com.au","","","","Search owner/founder/director/operations/F&B/procurement KP evidence.","""Contact Us - Grand Hotel Group"" Australia official contact","site:grandhotelgroup.com.au contact OR enquiry OR suppliers","""Contact Us - Grand Hotel Group"" Australia contact form OR enquiry OR suppliers","""Contact Us - Grand Hotel Group"" Australia owner OR founder OR director OR operations OR procurement OR ""food and beverage""","site:grandhotelgroup.com.au team OR people OR leadership OR director OR founder","site:linkedin.com/in ""Contact Us - Grand Hotel Group"" Australia director OR operations OR procurement","https://grandhotelgroup.com.au/contact-us"
"35","65","missing_form; missing_kp","Restaurant/Hotel Final Customer","AU-0332","Contact Us - The Venues Collection","Final Customer","","https://thevenuesco.au","","","","Search owner/founder/director/operations/F&B/procurement KP evidence.","""Contact Us - The Venues Collection"" Australia official contact","site:thevenuesco.au contact OR enquiry OR suppliers","""Contact Us - The Venues Collection"" Australia contact form OR enquiry OR suppliers","""Contact Us - The Venues Collection"" Australia owner OR founder OR director OR operations OR procurement OR ""food and beverage""","site:thevenuesco.au team OR people OR leadership OR director OR founder","site:linkedin.com/in ""Contact Us - The Venues Collection"" Australia director OR operations OR procurement","https://thevenuesco.au/contactus"
"36","65","missing_form; missing_kp","Restaurant/Hotel Final Customer","AU-0252","Contact Us - Wholesale Food Group","Final Customer","","https://wholesalefoodgroup.com.au","","","","Search owner/founder/director/operations/F&B/procurement KP evidence.","""Contact Us - Wholesale Food Group"" Australia official contact","site:wholesalefoodgroup.com.au contact OR enquiry OR suppliers","""Contact Us - Wholesale Food Group"" Australia contact form OR enquiry OR suppliers","""Contact Us - Wholesale Food Group"" Australia owner OR founder OR director OR operations OR procurement OR ""food and beverage""","site:wholesalefoodgroup.com.au team OR people OR leadership OR director OR founder","site:linkedin.com/in ""Contact Us - Wholesale Food Group"" Australia director OR operations OR procurement","https://wholesalefoodgroup.com.au/contact-us"
"37","65","missing_form; missing_kp","Restaurant/Hotel Final Customer","AU-0273","Contact us at Hunter Group Hotel","Final Customer","","https://hunterhotelgroup.com.au","","","","Search owner/founder/director/operations/F&B/procurement KP evidence.","""Contact us at Hunter Group Hotel"" Australia official contact","site:hunterhotelgroup.com.au contact OR enquiry OR suppliers","""Contact us at Hunter Group Hotel"" Australia contact form OR enquiry OR suppliers","""Contact us at Hunter Group Hotel"" Australia owner OR founder OR director OR operations OR procurement OR ""food and beverage""","site:hunterhotelgroup.com.au team OR people OR leadership OR director OR founder","site:linkedin.com/in ""Contact us at Hunter Group Hotel"" Australia director OR operations OR procurement","https://www.hunterhotelgroup.com.au/contact-us.html"
"38","65","missing_form; missing_kp","Restaurant/Hotel Final Customer","AU-0271","Contact us | at Hotel Group","Final Customer","","https://athotelgroup.com","","","","Search owner/founder/director/operations/F&B/procurement KP evidence.","""Contact us | at Hotel Group"" Australia official contact","site:athotelgroup.com contact OR enquiry OR suppliers","""Contact us | at Hotel Group"" Australia contact form OR enquiry OR suppliers","""Contact us | at Hotel Group"" Australia owner OR founder OR director OR operations OR procurement OR ""food and beverage""","site:athotelgroup.com team OR people OR leadership OR director OR founder","site:linkedin.com/in ""Contact us | at Hotel Group"" Australia director OR operations OR procurement","https://www.athotelgroup.com/contact-us"
"39","65","missing_form; missing_kp","Restaurant/Hotel Final Customer","AU-0348","Contact — Taste Hospitality","Final Customer","","https://tastehospitality.com.au","","","","Search owner/founder/director/operations/F&B/procurement KP evidence.","""Contact — Taste Hospitality"" Australia official contact","site:tastehospitality.com.au contact OR enquiry OR suppliers","""Contact — Taste Hospitality"" Australia contact form OR enquiry OR suppliers","""Contact — Taste Hospitality"" Australia owner OR founder OR director OR operations OR procurement OR ""food and beverage""","site:tastehospitality.com.au team OR people OR leadership OR director OR founder","site:linkedin.com/in ""Contact — Taste Hospitality"" Australia director OR operations OR procurement","https://www.tastehospitality.com.au/contact-us"
"40","65","missing_form; missing_kp","Restaurant/Hotel Final Customer","AU-0290","Corporate Catering with Australia's #1 Platform | EatFirst","Final Customer","","https://eatfirst.com.au","","","","Search owner/founder/director/operations/F&B/procurement KP evidence.","""Corporate Catering with Australia's #1 Platform | EatFirst"" Australia official contact","site:eatfirst.com.au contact OR enquiry OR suppliers","""Corporate Catering with Australia's #1 Platform | EatFirst"" Australia contact form OR enquiry OR suppliers","""Corporate Catering with Australia's #1 Platform | EatFirst"" Australia owner OR founder OR director OR operations OR procurement OR ""food and beverage""","site:eatfirst.com.au team OR people OR leadership OR director OR founder","site:linkedin.com/in ""Corporate Catering with Australia's #1 Platform | EatFirst"" Australia director OR operations OR procurement","https://www.eatfirst.com.au/en-au"
